model,MAE,RMSE,R2
RandomForest,0.45630424527267005,0.6310391448052445,0.1701882132775886
GradientBoosting,0.4876349070998645,0.6764312554047609,0.04651397594359996
LinearRegression,0.5167579323096183,0.6663970961584804,0.074592125944422
