law_type_clean,enthesis_length_mm_clean,n_exponent,number_of_layers,predicted_max_vonMises
power_law,7.0,2.0,12,7.3273646974563595
power_law,6.5,2.0,12,7.3273646974563595
power_law,6.0,2.0,12,7.3273646974563595
power_law,5.5,2.0,12,7.3273646974563595
power_law,4.75,5.0,16,7.342244938823912
power_law,4.25,5.0,16,7.342244938823912
power_law,4.5,5.0,16,7.342244938823912
power_law,5.0,5.0,16,7.342244938823912
power_law,4.0,5.0,16,7.342244938823912
power_law,4.75,5.0,12,7.35802521891064
power_law,5.0,5.0,12,7.35802521891064
power_law,4.25,5.0,12,7.35802521891064
power_law,4.0,5.0,12,7.35802521891064
power_law,4.5,5.0,12,7.35802521891064
power_law,6.5,2.0,8,7.360870876312256
power_law,6.25,2.0,8,7.360870876312256
power_law,6.75,2.0,8,7.360870876312256
power_law,7.0,2.0,8,7.360870876312256
power_law,6.0,2.0,8,7.360870876312256
power_law,5.75,2.0,8,7.360870876312256
power_law,5.5,2.0,8,7.360870876312256
power_law,5.25,2.0,8,7.360870876312256
exponential,4.75,0.0,16,7.372342178026835
exponential,5.0,0.0,16,7.372342178026835
exponential,4.5,0.0,16,7.372342178026835
exponential,4.25,0.0,16,7.372342178026835
exponential,4.0,0.0,16,7.372342178026835
power_law,4.5,5.0,8,7.3829809048440715
power_law,4.0,5.0,8,7.3829809048440715
power_law,4.25,5.0,8,7.3829809048440715
power_law,4.75,5.0,8,7.3829809048440715
power_law,5.0,5.0,8,7.3829809048440715
power_law,4.0,3.0,16,7.424913494202824
power_law,4.25,3.0,16,7.424913494202824
power_law,4.75,3.0,16,7.424913494202824
power_law,4.5,3.0,16,7.424913494202824
power_law,5.0,3.0,16,7.424913494202824
power_law,4.75,3.0,12,7.440244331783718
power_law,5.0,3.0,12,7.440244331783718
power_law,4.5,3.0,12,7.440244331783718
power_law,4.25,3.0,12,7.440244331783718
power_law,4.0,3.0,12,7.440244331783718
power_law,4.5,3.0,8,7.456825923548804
power_law,5.0,3.0,8,7.456825923548804
power_law,4.25,3.0,8,7.456825923548804
power_law,4.75,3.0,8,7.456825923548804
power_law,4.0,3.0,8,7.456825923548804
power_law,7.5,1.5,16,7.479119358062744
power_law,8.0,1.5,16,7.479119358062744
power_law,7.75,1.5,16,7.479119358062744
power_law,7.25,1.5,16,7.479119358062744
power_law,5.0,2.0,16,7.589118336041769
power_law,4.0,2.0,16,7.589118336041769
power_law,4.5,2.0,16,7.589118336041769
power_law,4.75,2.0,16,7.589118336041769
power_law,4.25,2.0,16,7.589118336041769
power_law,4.75,2.0,12,7.603150113423665
power_law,4.0,2.0,12,7.603150113423665
power_law,5.0,2.0,12,7.603150113423665
power_law,4.5,2.0,12,7.603150113423665
power_law,4.25,2.0,12,7.603150113423665
power_law,4.25,2.0,8,7.616891606648763
power_law,4.5,2.0,8,7.616891606648763
power_law,4.75,2.0,8,7.616891606648763
power_law,4.0,2.0,8,7.616891606648763
power_law,5.0,2.0,8,7.616891606648763
power_law,7.5,1.5,12,7.678610037167867
power_law,7.75,1.5,12,7.678610037167867
power_law,7.25,1.5,12,7.678610037167867
power_law,8.0,1.5,12,7.678610037167867
power_law,8.0,1.5,8,7.699979713757833
power_law,7.75,1.5,8,7.699979713757833
power_law,7.5,1.5,8,7.699979713757833
power_law,7.25,1.5,8,7.699979713757833
power_law,5.25,1.5,16,7.84140969159868
power_law,5.5,1.5,16,7.84140969159868
power_law,5.75,1.5,16,7.84140969159868
power_law,6.25,1.5,16,7.84140969159868
power_law,7.0,1.5,16,7.84140969159868
power_law,6.5,1.5,16,7.84140969159868
power_law,6.75,1.5,16,7.84140969159868
power_law,6.0,1.5,16,7.84140969159868
power_law,4.5,1.5,16,7.935027562777202
power_law,4.0,1.5,16,7.935027562777202
power_law,5.0,1.5,16,7.935027562777202
power_law,4.75,1.5,16,7.935027562777202
power_law,4.25,1.5,16,7.935027562777202
linear,7.75,0.0,16,7.997810066541036
linear,7.25,0.0,16,7.997810066541036
linear,8.0,0.0,16,7.997810066541036
linear,7.5,0.0,16,7.997810066541036
power_law,5.5,1.5,8,8.076684602101643
power_law,6.0,1.5,8,8.076684602101643
power_law,7.0,1.5,8,8.076684602101643
power_law,6.5,1.5,8,8.076684602101643
power_law,6.25,1.5,8,8.076684602101643
power_law,6.75,1.5,8,8.076684602101643
power_law,5.25,1.5,8,8.076684602101643
power_law,5.75,1.5,8,8.076684602101643
linear,7.5,0.0,12,8.07703972975413
linear,7.25,0.0,12,8.07703972975413
linear,8.0,0.0,12,8.07703972975413
linear,7.75,0.0,12,8.07703972975413
power_law,5.75,1.5,12,8.089557491938272
power_law,5.25,1.5,12,8.089557491938272
power_law,6.0,1.5,12,8.089557491938272
power_law,6.5,1.5,12,8.089557491938272
power_law,7.0,1.5,12,8.089557491938272
power_law,5.5,1.5,12,8.089557491938272
power_law,6.75,1.5,12,8.089557491938272
power_law,6.25,1.5,12,8.089557491938272
linear,7.5,0.0,8,8.099829829533896
linear,8.0,0.0,8,8.099829829533896
linear,7.75,0.0,8,8.099829829533896
linear,7.25,0.0,8,8.099829829533896
linear,5.75,0.0,16,8.10575440926022
linear,5.25,0.0,16,8.10575440926022
linear,6.0,0.0,16,8.10575440926022
linear,5.5,0.0,16,8.10575440926022
linear,4.0,0.0,16,8.121860437393188
linear,4.75,0.0,16,8.121860437393188
linear,5.0,0.0,16,8.121860437393188
linear,4.25,0.0,16,8.121860437393188
linear,4.5,0.0,16,8.121860437393188
power_law,4.75,1.5,8,8.135758323669434
power_law,4.0,1.5,8,8.135758323669434
power_law,4.25,1.5,8,8.135758323669434
power_law,5.0,1.5,8,8.135758323669434
power_law,4.5,1.5,8,8.135758323669434
linear,7.0,0.0,16,8.138791928715175
linear,6.75,0.0,16,8.138791928715175
linear,6.25,0.0,16,8.138791928715175
linear,6.5,0.0,16,8.138791928715175
power_law,5.0,1.5,12,8.147535823186239
power_law,4.5,1.5,12,8.147535823186239
power_law,4.25,1.5,12,8.147535823186239
power_law,4.75,1.5,12,8.147535823186239
power_law,4.0,1.5,12,8.147535823186239
linear,4.25,0.0,8,8.195465315183004
linear,4.75,0.0,8,8.195465315183004
linear,5.0,0.0,8,8.195465315183004
linear,4.0,0.0,8,8.195465315183004
linear,4.5,0.0,8,8.195465315183004
linear,4.25,0.0,12,8.199303731918334
linear,4.5,0.0,12,8.199303731918334
linear,4.0,0.0,12,8.199303731918334
linear,5.0,0.0,12,8.199303731918334
linear,4.75,0.0,12,8.199303731918334
linear,5.5,0.0,8,8.200095521608988
linear,5.25,0.0,8,8.200095521608988
linear,5.75,0.0,8,8.200095521608988
linear,6.0,0.0,8,8.200095521608988
linear,5.25,0.0,12,8.20516746520996
linear,6.0,0.0,12,8.20516746520996
linear,5.5,0.0,12,8.20516746520996
linear,5.75,0.0,12,8.20516746520996
linear,7.0,0.0,8,8.22946220556895
linear,6.75,0.0,8,8.22946220556895
linear,6.5,0.0,8,8.22946220556895
linear,6.25,0.0,8,8.22946220556895
linear,6.75,0.0,12,8.235757761001587
linear,7.0,0.0,12,8.235757761001587
linear,6.25,0.0,12,8.235757761001587
linear,6.5,0.0,12,8.235757761001587
