Model,Max_S11_MPa,Min_S11_MPa,X_Max_mm,X_Min_mm,S11_Interface_MPa,S11_Range_MPa,MaxAbs_dSdx,MeanAbs_dSdx,MeanAbs_d2Sdx2,MaxAbs_d2Sdx2,Area_vs_Sharp,AreaAbs_S11
Sharp,-3.36902260578649,-4.13327015244775,15.9341182364729,11.3484468937876,-3.63412275,0.764247546661262,0.591923147339318,0.0641720288727616,0.0992558650313023,4.71520188519419,0,111.084298188004
Linear,-3.75545646958738,-5.08938259451403,14.5187875751503,9.48021042084168,-3.80171415,1.33392612492665,0.503038130066372,0.106383883236233,0.0697332017422853,1.28582358297439,23.1611555647035,133.964176828784
Exponential,-3.51160911367876,-4.63794251563126,17.0097695390782,10.499248496994,-3.768556,1.12633340195251,0.273317826229207,0.0908724643900631,0.0456463421505926,0.872945791479338,11.0119810797559,122.09627926776
Power n=0.5,-3.94688860828226,-5.13922790563627,13.9526553106212,9.48021042084168,-4.10845,1.19233929735401,0.461792389900118,0.0964466772710645,0.0687211567622234,1.42053484501622,25.5303932366199,136.593838978695
Power n=2,-3.52912359628821,-4.81247666395291,15.7642785571142,9.53682364729459,-3.5922588,1.2833530676647,0.388581752946374,0.10231332074637,0.0563628280174549,0.961300562569508,15.4984021102346,126.353163671107
