Model,ODB_File,Step,HistoryRegion,ALLSE_Final,Status
M17_PWR_n3_L16_nuConst_v1,M17_PWR_n3_L16_nuConst_v1.odb,Loading,Assembly ASSEMBLY,3.9661245346069336,OK
M18_PWR_n3_L16_nuVar_v1,M18_PWR_n3_L16_nuVar_v1.odb,Loading,Assembly ASSEMBLY,3.9702978134155273,OK
