Model,ElementLabel,X_centroid_mm,Y_centroid_mm,SENER
M17_PWR_n3_L16_nuCost_v1,70,13.3125,2.850000023841858,0.020287001505494118
M17_PWR_n3_L16_nuCost_v1,71,13.3125,3.149999976158142,0.020287001505494118
M17_PWR_n3_L16_nuCost_v1,90,13.6875,3.149999976158142,0.01254904456436634
M17_PWR_n3_L16_nuCost_v1,91,13.6875,2.850000023841858,0.01254904456436634
M17_PWR_n3_L16_nuCost_v1,110,14.0625,2.850000023841858,0.007795806974172592
M17_PWR_n3_L16_nuCost_v1,111,14.0625,3.149999976158142,0.007795806974172592
M17_PWR_n3_L16_nuCost_v1,130,14.4375,3.149999976158142,0.0049736457876861095
M17_PWR_n3_L16_nuCost_v1,131,14.4375,2.850000023841858,0.0049736457876861095
M17_PWR_n3_L16_nuCost_v1,150,14.8125,2.850000023841858,0.003268579952418804
M17_PWR_n3_L16_nuCost_v1,151,14.8125,3.149999976158142,0.003268579952418804
M17_PWR_n3_L16_nuCost_v1,170,15.1875,3.149999976158142,0.0022104280069470406
M17_PWR_n3_L16_nuCost_v1,171,15.1875,2.850000023841858,0.0022104280069470406
M17_PWR_n3_L16_nuCost_v1,190,15.5625,2.850000023841858,0.0015365162398666143
M17_PWR_n3_L16_nuCost_v1,191,15.5625,3.149999976158142,0.0015365162398666143
M17_PWR_n3_L16_nuCost_v1,210,15.9375,3.149999976158142,0.0011009166482836008
M17_PWR_n3_L16_nuCost_v1,211,15.9375,2.850000023841858,0.0011009166482836008
M17_PWR_n3_L16_nuCost_v1,230,16.3125,2.850000023841858,0.0008140020072460175
M17_PWR_n3_L16_nuCost_v1,231,16.3125,3.149999976158142,0.0008140020072460175
M17_PWR_n3_L16_nuCost_v1,250,16.6875,3.149999976158142,0.0006239395006559789
M17_PWR_n3_L16_nuCost_v1,251,16.6875,2.850000023841858,0.0006239395006559789
M17_PWR_n3_L16_nuCost_v1,290,17.0625,2.850000023841858,0.0004947095876559615
M17_PWR_n3_L16_nuCost_v1,291,17.0625,3.149999976158142,0.0004947095876559615
M17_PWR_n3_L16_nuCost_v1,310,17.4375,3.149999976158142,0.0004068014386575669
M17_PWR_n3_L16_nuCost_v1,311,17.4375,2.850000023841858,0.0004068014386575669
