Model,ElementLabel,X_centroid_mm,Y_centroid_mm,S11
M17_PWR_n3_L16_nuCost_v1,470,25.5,3.149999976158142,-4.4735565185546875
M17_PWR_n3_L16_nuCost_v1,471,25.5,2.850000023841858,-4.4735565185546875
M17_PWR_n3_L16_nuCost_v1,490,26.5,3.149999976158142,-4.506424903869629
M17_PWR_n3_L16_nuCost_v1,491,26.5,2.850000023841858,-4.506424903869629
M17_PWR_n3_L16_nuCost_v1,510,27.5,3.149999976158142,-4.502375602722168
M17_PWR_n3_L16_nuCost_v1,511,27.5,2.850000023841858,-4.502375602722168
M17_PWR_n3_L16_nuCost_v1,530,28.5,3.149999976158142,-4.413042068481445
M17_PWR_n3_L16_nuCost_v1,531,28.5,2.850000023841858,-4.413042068481445
M17_PWR_n3_L16_nuCost_v1,550,29.5,3.149999976158142,-4.228307247161865
M17_PWR_n3_L16_nuCost_v1,551,29.5,2.850000023841858,-4.228307247161865
M18_PWR_n3_L16_nuVar_v1,790,0.5,2.850000023841858,-4.41115665435791
M18_PWR_n3_L16_nuVar_v1,791,0.5,3.149999976158142,-4.41115665435791
M18_PWR_n3_L16_nuVar_v1,770,1.5,2.850000023841858,-4.411008834838867
M18_PWR_n3_L16_nuVar_v1,771,1.5,3.149999976158142,-4.411008834838867
M18_PWR_n3_L16_nuVar_v1,750,2.5,2.850000023841858,-4.410765171051025
M18_PWR_n3_L16_nuVar_v1,751,2.5,3.149999976158142,-4.410765171051025
M18_PWR_n3_L16_nuVar_v1,730,3.5,2.850000023841858,-4.410627365112305
M18_PWR_n3_L16_nuVar_v1,731,3.5,3.149999976158142,-4.410627365112305
M18_PWR_n3_L16_nuVar_v1,710,4.5,2.850000023841858,-4.411186695098877
M18_PWR_n3_L16_nuVar_v1,711,4.5,3.149999976158142,-4.411186695098877
M18_PWR_n3_L16_nuVar_v1,690,5.5,2.850000023841858,-4.413846969604492
M18_PWR_n3_L16_nuVar_v1,691,5.5,3.149999976158142,-4.413846969604492
M18_PWR_n3_L16_nuVar_v1,670,6.5,2.850000023841858,-4.421346187591553
M18_PWR_n3_L16_nuVar_v1,671,6.5,3.149999976158142,-4.421346187591553
M18_PWR_n3_L16_nuVar_v1,650,7.5,2.850000023841858,-4.438192844390869
M18_PWR_n3_L16_nuVar_v1,651,7.5,3.149999976158142,-4.438192844390869
M18_PWR_n3_L16_nuVar_v1,630,8.5,2.850000023841858,-4.469783306121826
M18_PWR_n3_L16_nuVar_v1,631,8.5,3.149999976158142,-4.469783306121826
M18_PWR_n3_L16_nuVar_v1,610,9.5,2.850000023841858,-4.5155510902404785
M18_PWR_n3_L16_nuVar_v1,611,9.5,3.149999976158142,-4.5155510902404785
M18_PWR_n3_L16_nuVar_v1,590,10.5,2.850000023841858,-4.5541911125183105
M18_PWR_n3_L16_nuVar_v1,591,10.5,3.149999976158142,-4.5541911125183105
M18_PWR_n3_L16_nuVar_v1,570,11.5,2.850000023841858,-4.536951541900635
M18_PWR_n3_L16_nuVar_v1,571,11.5,3.149999976158142,-4.536951541900635
M18_PWR_n3_L16_nuVar_v1,10,12.1875,2.850000023841858,-4.478814125061035
M18_PWR_n3_L16_nuVar_v1,11,12.1875,3.149999976158142,-4.478814125061035
M18_PWR_n3_L16_nuVar_v1,30,12.5625,2.850000023841858,-4.412502288818359
M18_PWR_n3_L16_nuVar_v1,31,12.5625,3.149999976158142,-4.412502288818359
M18_PWR_n3_L16_nuVar_v1,50,12.9375,3.149999976158142,-4.324731826782227
M18_PWR_n3_L16_nuVar_v1,51,12.9375,2.850000023841858,-4.324731826782227
M18_PWR_n3_L16_nuVar_v1,70,13.3125,2.850000023841858,-4.2146453857421875
M18_PWR_n3_L16_nuVar_v1,71,13.3125,3.149999976158142,-4.2146453857421875
M18_PWR_n3_L16_nuVar_v1,90,13.6875,3.149999976158142,-4.081805229187012
M18_PWR_n3_L16_nuVar_v1,91,13.6875,2.850000023841858,-4.081805229187012
M18_PWR_n3_L16_nuVar_v1,110,14.0625,2.850000023841858,-3.9284117221832275
M18_PWR_n3_L16_nuVar_v1,111,14.0625,3.149999976158142,-3.9284117221832275
M18_PWR_n3_L16_nuVar_v1,130,14.4375,3.149999976158142,-3.7610514163970947
M18_PWR_n3_L16_nuVar_v1,131,14.4375,2.850000023841858,-3.7610514163970947
M18_PWR_n3_L16_nuVar_v1,150,14.8125,2.850000023841858,-3.59045147895813
M18_PWR_n3_L16_nuVar_v1,151,14.8125,3.149999976158142,-3.59045147895813
M18_PWR_n3_L16_nuVar_v1,170,15.1875,3.149999976158142,-3.4298977851867676
M18_PWR_n3_L16_nuVar_v1,171,15.1875,2.850000023841858,-3.4298977851867676
M18_PWR_n3_L16_nuVar_v1,190,15.5625,2.850000023841858,-3.2915306091308594
M18_PWR_n3_L16_nuVar_v1,191,15.5625,3.149999976158142,-3.2915306091308594
M18_PWR_n3_L16_nuVar_v1,210,15.9375,3.149999976158142,-3.186389923095703
