law_type,enthesis_length_mm,n_exponent,number_of_layers,predicted_max_vonMises
linear,4.0,0,16,8.121860437393188
linear,4.040404040404041,0,16,8.121860437393188
linear,4.08080808080808,0,16,8.121860437393188
linear,4.121212121212121,0,16,8.121860437393188
linear,4.161616161616162,0,16,8.121860437393188
linear,4.202020202020202,0,16,8.121860437393188
linear,4.242424242424242,0,16,8.121860437393188
linear,4.282828282828283,0,16,8.121860437393188
linear,4.3232323232323235,0,16,8.121860437393188
linear,4.363636363636363,0,16,8.121860437393188
linear,4.404040404040404,0,16,8.121860437393188
linear,4.444444444444445,0,16,8.121860437393188
linear,4.484848484848484,0,16,8.121860437393188
linear,4.525252525252525,0,16,8.121860437393188
linear,4.565656565656566,0,16,8.121860437393188
linear,4.606060606060606,0,16,8.121860437393188
linear,4.646464646464646,0,16,8.121860437393188
linear,4.686868686868687,0,16,8.121860437393188
linear,4.7272727272727275,0,16,8.121860437393188
linear,4.767676767676768,0,16,8.121860437393188
linear,4.808080808080808,0,16,8.121860437393188
linear,4.848484848484849,0,16,8.121860437393188
linear,4.888888888888889,0,16,8.121860437393188
linear,4.929292929292929,0,16,8.121860437393188
linear,4.96969696969697,0,16,8.121860437393188
linear,5.01010101010101,0,16,8.10575440926022
linear,5.05050505050505,0,16,8.10575440926022
linear,5.090909090909091,0,16,8.10575440926022
linear,5.1313131313131315,0,16,8.10575440926022
linear,5.171717171717171,0,16,8.10575440926022
linear,5.212121212121212,0,16,8.10575440926022
linear,5.252525252525253,0,16,8.10575440926022
linear,5.292929292929293,0,16,8.10575440926022
linear,5.333333333333334,0,16,8.10575440926022
linear,5.373737373737374,0,16,8.10575440926022
linear,5.414141414141414,0,16,8.10575440926022
linear,5.454545454545455,0,16,8.10575440926022
linear,5.494949494949495,0,16,8.10575440926022
linear,5.5353535353535355,0,16,8.10575440926022
linear,5.575757575757576,0,16,8.10575440926022
linear,5.616161616161616,0,16,8.10575440926022
linear,5.656565656565657,0,16,8.10575440926022
linear,5.696969696969697,0,16,8.10575440926022
linear,5.737373737373737,0,16,8.10575440926022
linear,5.777777777777778,0,16,8.10575440926022
linear,5.818181818181818,0,16,8.10575440926022
linear,5.858585858585859,0,16,8.10575440926022
linear,5.8989898989899,0,16,8.10575440926022
linear,5.9393939393939394,0,16,8.10575440926022
linear,5.97979797979798,0,16,8.10575440926022
