feature,importance
n_exponent,0.38628322082172917
enthesis_length_mm_clean,0.1964478925413304
law_type_exponential,0.15997977682492065
law_type_linear,0.13402626323573869
number_of_layers,0.0727837392100198
law_type_power_law,0.04128675067597592
law_type_sharp,0.009192356690285288
